protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
O15213,WDR46,4.247067837106254,23.930366443110444,1.4724884429993998,0.20160155720441347,0.4038061959902077,-5.546088121017766,0.3938270215396985,Not Significant
Q9BVL2,NUP58,-2.8930417135065483,23.786522377864433,-1.4705427459698792,0.20210311660229457,0.40447115851602194,-5.548419904768531,0.3931124410329542,Not Significant
Q9UHD1,CHORDC1,2.6356007045830907,25.94138425454584,1.470325475714298,0.2021591987975051,0.40447115851602194,-5.548680216459493,0.3931124410329542,Not Significant
Q15181,PPA1,-0.3944573719282367,28.000117954960803,-1.4700918527326388,0.20221951870809093,0.40447115851602194,-5.548960104261907,0.3931124410329542,Not Significant
P29144,TPP2,2.402232001182341,25.488007992394284,1.4698625986268234,0.2022787274507266,0.40447115851602194,-5.549234741780534,0.3931124410329542,Not Significant
Q9BRP8,PYM1,2.5890914926797564,25.42223701717134,1.4690999418556983,0.2024758165819082,0.4046926022684024,-5.550148259182068,0.39287473438623416,Not Significant
Q8IYU8,MICU2,1.7689763158514324,24.20841324152614,1.4676383367632289,0.20285404775915353,0.4051272969636092,-5.55189848493022,0.3924084936189927,Not Significant
O14548,COX7A2L,0.8005403694553692,25.046735383913997,1.467402722275688,0.2029150832056722,0.4051272969636092,-5.552180564390475,0.3924084936189927,Not Significant
O95163,ELP1,1.8770153925203097,24.323473498684493,1.4672578834453927,0.20295261217635044,0.4051272969636092,-5.552353958068379,0.3924084936189927,Not Significant
P27816,MAP4,-0.5412212653055342,28.226856650805626,-1.4664166722664296,0.20317070921108776,0.4051659139300979,-5.553360885632692,0.3923670983925707,Not Significant
O95139,NDUFB6,-3.868046220458119,25.780584484676112,-1.4663103570731326,0.2031982891182526,0.4051659139300979,-5.553488129124204,0.3923670983925707,Not Significant
Q99733,NAP1L4,-2.5275493872302874,26.33923360989915,-1.466183157216105,0.2032312915830297,0.4051659139300979,-5.553640363877504,0.3923670983925707,Not Significant
Q96A26,FAM162A,-0.4698481523161462,26.15232629117533,-1.4653980557178632,0.20343510318091795,0.40534439983916215,-5.554579875009311,0.3921758227349011,Not Significant
P45974,USP5,-1.0024538502588385,26.32126162924054,-1.4651721460236742,0.20349378553905453,0.40534439983916215,-5.554850180181857,0.3921758227349011,Not Significant
P28072,PSMB6,-4.111525813066084,26.28898813356365,-1.4641289164051654,0.20376498637260265,0.4054558759063558,-5.5560982192887645,0.39205640136172254,Not Significant
O15294,OGT,-3.3946017073597368,24.79998439501834,-1.4639939844288714,0.2038000890351847,0.4054558759063558,-5.55625961686,0.39205640136172254,Not Significant
Q96CW1,AP2M1,2.503861871964393,25.711685567276778,1.463958701163362,0.20380926896423604,0.4054558759063558,-5.556301819665053,0.39205640136172254,Not Significant
Q8IZP0,ABI1,0.4989170858833063,24.781741344686083,1.463569034424394,0.20391067811971136,0.40548551054182735,-5.556767879828674,0.39202466008207076,Not Significant
O15173,PGRMC2,0.370133613589136,27.255992674240346,1.4622347855681272,0.20425827843350242,0.405752774080541,-5.558363348964799,0.3917385022749828,Not Significant
O00762,UBE2C,-3.3155600733517296,24.660625748929522,-1.4621107182508786,0.20429062954904081,0.405752774080541,-5.558511678187147,0.3917385022749828,Not Significant
O95298,NDUFC2,2.0713354060811717,24.82678151331851,1.4620564217086476,0.20430478916792763,0.405752774080541,-5.55857659114994,0.3917385022749828,Not Significant
Q86XZ4,SPATS2,2.563344016912552,25.841904528263054,1.4604746802482143,0.20471769477741314,0.40638750273497587,-5.56046720255334,0.3910596559817439,Not Significant
Q9Y217,MTMR6,2.474476814347934,19.697361158614797,1.4601681774590844,0.20479779847664029,0.40638750273497587,-5.560833466610595,0.3910596559817439,Not Significant
Q4G0J3,LARP7,2.6504780644779835,26.023363968437337,1.4595726386665073,0.2049535270855587,0.4065244102623841,-5.561545038469151,0.3909133715361701,Not Significant
Q9NW13,RBM28,2.389547628442706,25.48812422400705,1.4589950247188577,0.20510467716134137,0.4066521243042331,-5.562235087205751,0.3907769546531567,Not Significant
Q99460,PSMD1,-0.40834113324465093,26.778159834160345,-1.4582198610324455,0.20530769034208557,0.40682110368672286,-5.563160975485529,0.3905965263073892,Not Significant
Q96QR8,PURB,2.0413412280909498,24.764444757143036,1.458006886888788,0.20536350145568302,0.40682110368672286,-5.5634153278564105,0.3905965263073892,Not Significant
P55809,OXCT1,-3.3666793991494437,24.807737622314935,-1.4570100955930376,0.20562491013767786,0.40699680986484515,-5.56460559424558,0.3904089948620626,Not Significant
Q9GZR7,DDX24,2.084226706052597,24.87537831085854,1.4570064433682828,0.20562586852143233,0.40699680986484515,-5.564609954786168,0.3904089948620626,Not Significant
Q16186,ADRM1,-3.218351840819654,24.45925836998737,-1.4541193434320505,0.20638481806992628,0.40821484318897366,-5.568055668658213,0.38911120785643594,Not Significant
Q12792,TWF1,-0.5530401602233432,26.07774255014927,-1.4537275274501438,0.2064880240629165,0.40821484318897366,-5.568523093078759,0.38911120785643594,Not Significant
Q9Y6D0,SELENOK,1.0911737956789267,26.290562271129087,1.45367244308906,0.20650253748689065,0.40821484318897366,-5.568588803138576,0.38911120785643594,Not Significant
Q9GZR2,REXO4,3.156229229754203,24.146891910403895,1.4518958334731855,0.20697115712080855,0.4089687240409906,-5.5707076034360545,0.3883099034737856,Not Significant
P61165,TMEM258,-0.36961895668833833,25.463216329625045,-1.451469126574815,0.20708386220891795,0.4090189895377996,-5.571216348863025,0.38825652852069187,Not Significant
Q05682,CALD1,-3.4295825963434616,24.945717392210454,-1.4509666229818396,0.2072166627612669,0.409108887262872,-5.57181538950851,0.38816108601787824,Not Significant
Q2Y0W8,SLC4A8,2.50104386608524,19.71064468448345,1.448584615728462,0.20784728602209027,0.4101811492991735,-5.574653916218959,0.38702430238663227,Not Significant
P63096,GNAI1,1.5819240620723924,23.859275873673067,1.4481624627685876,0.2079592403993987,0.41022936016497547,-5.57515678743044,0.386973260346658,Not Significant
Q96NB2,SFXN2,1.7281806716517067,24.154361791703536,1.4467496642925892,0.20833433298669077,0.41079638986479583,-5.576839307224043,0.38637338169765956,Not Significant
P40222,TXLNA,0.4225697688938794,27.8259878677585,1.4460720878955315,0.2085144567958926,0.41097866232226604,-5.577646014808261,0.386180725754723,Not Significant
O75746,SLC25A12,0.4051332999992461,25.751845309748887,1.4455094457507016,0.20866414035143052,0.4111008095112042,-5.5783157722545225,0.38605166803623286,Not Significant
P28066,PSMA5,-0.8101563483254779,28.222515118854627,-1.4449575626329123,0.20881106157269036,0.41116520591472616,-5.5789726235926675,0.385983643814785,Not Significant
Q6PML9,SLC30A9,-3.560642646084201,21.9755114224273,-1.4447277332479715,0.20887227550308576,0.41116520591472616,-5.5792461376679965,0.385983643814785,Not Significant
Q13907,IDI1,2.3046631474251456,25.303214416527144,1.4439824798246568,0.20907088830675175,0.4113833977723533,-5.580132927785263,0.3857532391394589,Not Significant
P56182,RRP1,-0.671504626270071,25.847189066667227,-1.4424569005344292,0.20947802482046746,0.41196650922788236,-5.581947682988018,0.38513808845405145,Not Significant
P54920,NAPA,-0.9944637477267264,26.582761224935847,-1.4420304318944726,0.20959197358890522,0.41196650922788236,-5.582454855010065,0.38513808845405145,Not Significant
Q15021,NCAPD2,2.2202191904358983,25.168263012057093,1.4418847185994241,0.20963092052666937,0.41196650922788236,-5.582628129082291,0.38513808845405145,Not Significant
Q13526,PIN1,-3.521238915157511,25.18272670121145,-1.4399958858757647,0.21013640368052636,0.4126630329411938,-5.584873600653054,0.38440443422103093,Not Significant
