protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
O75394,MRPL33,7.073639229407824,21.99694236614474,6.578270263445029,0.001279292407173647,0.017230010093169205,-0.2741420677731403,1.7637144681464922,Enriched (Pulldown)
Q9NRK6,ABCB10,7.065991386339807,21.99311844461073,6.673487076082527,0.001199041832132906,0.01687660380542622,-0.2092316861670671,1.772714944971022,Enriched (Pulldown)
Q9H8H2,DDX31,7.055552134786961,21.987898818834307,6.6516157740856645,0.0012169352702978305,0.017077172490676442,-0.22405312072262884,1.7675840348970304,Enriched (Pulldown)
Q8IUF8,RIOX2,7.036210406400041,21.978227954640847,6.6466752990254205,0.0012210208542730793,0.017083357444710217,-0.22740838571073496,1.7674267720300827,Enriched (Pulldown)
P42694,HELZ,7.030478429202542,21.9753619660421,6.618140365337765,0.0012449384265396859,0.01712564205073813,-0.24684018877540304,1.766353137566008,Enriched (Pulldown)
Q9NZB2,FAM120A,7.025319734668837,21.972782618775245,6.634000916983584,0.0012315765728044936,0.01712564205073813,-0.23602833272367274,1.766353137566008,Enriched (Pulldown)
Q9H8H3,TMT1A,7.0204249976095205,21.970335250245586,6.626590243841769,0.001237798515524081,0.01712564205073813,-0.24107659745829757,1.766353137566008,Enriched (Pulldown)
Q9C0D9,SELENOI,7.001158208229668,21.960701855555666,6.60966318048634,0.0012521504511023931,0.01712564205073813,-0.2526303453472831,1.766353137566008,Enriched (Pulldown)
Q14C86,GAPVD1,6.999415625734692,21.959830564308174,6.594778019223468,0.0012649341293924853,0.017181396911898347,-0.2628166124338911,1.7649415293018562,Enriched (Pulldown)
Q9BY67,CADM1,6.9956064507715965,21.957925976826626,6.6068488572677335,0.001254555683202033,0.01712564205073813,-0.25455436815697663,1.766353137566008,Enriched (Pulldown)
Q9BSH5,HDHD3,6.980419637702397,21.950332570292023,6.590829054165055,0.0012683514682135326,0.017181396911898347,-0.265523113598058,1.7649415293018562,Enriched (Pulldown)
Q9Y496,KIF3A,6.971625241409651,21.945935372145655,6.574011139609189,0.0012830281991724809,0.01723081137398687,-0.27706904785442354,1.7636942717714312,Enriched (Pulldown)
Q96QD9,FYTTD1,6.969111245098826,21.944678373990243,6.5813433835485435,0.0012766048851116359,0.017230010093169205,-0.2720313967557839,1.7637144681464922,Enriched (Pulldown)
O60287,URB1,6.947335829547949,21.933790666214804,6.559602711554537,0.0012957622904973597,0.017256254067137763,-0.28698591354536607,1.7630534736575,Enriched (Pulldown)
O15431,SLC31A1,6.936900502536719,21.92857300270919,6.51082577556675,0.001339995347158593,0.01744967007060306,-0.32073041364103627,1.758212780044119,Enriched (Pulldown)
P30825,SLC7A1,6.927721799721436,21.92398365130155,6.540983902266081,0.001312439699968598,0.017342547590358914,-0.2998350768316005,1.760887105062427,Enriched (Pulldown)
Q6DD88,ATL3,6.90411427506114,21.912179888971394,6.52096684883639,0.0013306536750888655,0.01744967007060306,-0.3136926377307976,1.758212780044119,Enriched (Pulldown)
Q9Y672,ALG6,6.894556369279631,21.907400936080638,6.498508105021111,0.0013514466045719885,0.01744967007060306,-0.3292943532155119,1.758212780044119,Enriched (Pulldown)
Q7KZN9,COX15,6.887820707190386,21.90403310503602,6.4922756427159785,0.0013572847752283828,0.017476905883229202,-0.33363405811654445,1.7575354525244162,Enriched (Pulldown)
Q8TCT9,HM13,6.887297902249891,21.903771702565773,6.478104061589929,0.001370671221620887,0.01755283064409043,-0.34351822969963486,1.7556528373759557,Enriched (Pulldown)
Q99643,SDHC,6.883211269985903,21.901728386433778,6.498791713137874,0.0013511816461634638,0.01744967007060306,-0.3290969797071286,1.758212780044119,Enriched (Pulldown)
O75319,DUSP11,6.883030927951925,21.901638215416792,6.501816638811731,0.0013483594556884567,0.01744967007060306,-0.3269923873597964,1.758212780044119,Enriched (Pulldown)
Q9UDX5,MTFP1,6.876229328337548,21.898237415609604,6.4837274811982795,0.001365340742658966,0.017532471399568695,-0.33959336551878394,1.7561568608860245,Enriched (Pulldown)
P03915,MT-ND5,6.8642400425156715,21.892242772698665,6.46651813141072,0.0013817314174694227,0.01759830204804126,-0.3516159686048299,1.7545292325687596,Enriched (Pulldown)
Q8N3Z6,ZCCHC7,6.855537688912538,21.8878915958971,5.88843815112758,0.0020959480238831934,0.020857130335330206,-0.7758115131790193,1.6807454449633155,Enriched (Pulldown)
Q96SN8,CDK5RAP2,6.854914971763073,21.887580237322368,6.430386960145166,0.001416907299763978,0.01775680351335231,-0.3769674948006756,1.7506352109366294,Enriched (Pulldown)
P03886,MT-ND1,6.8522059864105955,21.886225744646122,6.472717643964007,0.0013758001430755427,0.01757050482450972,-0.34728105054037783,1.7552157604540901,Enriched (Pulldown)
Q99595,TIMM17A,6.8109503592116845,21.865597931046675,6.432790117549242,0.0014145350509599198,0.01775680351335231,-0.37527667307078616,1.7506352109366294,Enriched (Pulldown)
P49759,CLK1,6.809958438611261,21.865101970746462,6.408218311809115,0.0014390141782809618,0.017846973542327116,-0.39259629222407,1.7484354201851395,Enriched (Pulldown)
P04083,ANXA1,6.80792973399603,21.86408761843884,5.938673950664868,0.002018849575419831,0.02061513716774019,-0.7373249361012846,1.685813771170919,Enriched (Pulldown)
Q13740,ALCAM,6.7865546808772805,21.853400091879468,6.4003593558824585,0.0014469489963909333,0.017846973542327116,-0.39815041082169866,1.7484354201851395,Enriched (Pulldown)
Q9Y483,MTF2,6.78403534463477,21.852140423758215,6.191216504562202,0.0016784229047950778,0.019328668684949705,-0.5486113581172267,1.71379805816449,Enriched (Pulldown)
Q99805,TM9SF2,6.765358274743175,21.842801888812414,6.378553272159541,0.001469237985672402,0.017933120934496217,-0.4135986876718807,1.7463441227812948,Enriched (Pulldown)
Q9UKV5,AMFR,6.760688349790435,21.840466926336045,6.374769254577309,0.0014731470151354352,0.017934130025817625,-0.41628504010506884,1.7463196858489396,Enriched (Pulldown)
Q9Y324,FCF1,6.754917328436953,21.83758141565931,6.120523119714639,0.0017663804428397446,0.01964965694208124,-0.6006481956783674,1.706645027449453,Enriched (Pulldown)
